ID,Exercise,Short YouTube Demonstration,In-Depth YouTube Explanation,Difficulty Level,Target Muscle Group ,Prime Mover Muscle,Secondary Muscle,Tertiary Muscle,Primary Equipment ,# Primary Items,Secondary Equipment,# Secondary Items,Posture,Single or Double Arm,Continuous or Alternating Arms ,Grip,Load Position (Ending),Foot Elevation,Combination Exercises,Movement Pattern #1,Movement Pattern #2,Movement Pattern #3,Plane Of Motion #1,Plane Of Motion #2,Plane Of Motion #3,Body Region,Force Type,Mechanics,Laterality,Primary Exercise Classification
11,Bodyweight Dead Bug,Video Demonstration,Video Explanation,Beginner,Abdominals,Rectus Abdominis,,,Bodyweight,1.0,None,0,Supine,Single Arm,Alternating,No Grip,No Load,No Elevation,Single Exercise,Anti-Extension,,,Sagittal Plane,,,Midsection,Other,Compound,Contralateral,Postural
12,Bodyweight Alternating Heel Taps,Video Demonstration,Video Explanation,Beginner,Abdominals,Obliques,Rectus Abdominis,,Bodyweight,1.0,None,0,Supine,Double Arm,Alternating,No Grip,No Load,No Elevation,Single Exercise,Lateral Flexion,,,Frontal Plane,,,Midsection,Other,Compound,Unilateral,Unsorted*
13,Bodyweight Flutter Kicks,Video Demonstration,Video Explanation,Beginner,Abdominals,Rectus Abdominis,,,Bodyweight,1.0,None,0,Supine,No Arms,Continuous,No Grip,No Load,No Elevation,Single Exercise,Hip Flexion,,,Sagittal Plane,,,Midsection,Other,Compound,Unilateral,Unsorted*
14,Bodyweight Kneeling Forearm Plank,Video Demonstration,Video Explanation,Beginner,Abdominals,Rectus Abdominis,,,Bodyweight,1.0,None,0,Prone,Double Arm,Continuous,Forearm,No Load,No Elevation,Single Exercise,Anti-Extension,,,Frontal Plane,,,Midsection,Other,Compound,Bilateral,Calisthenics
15,Bodyweight Seated Ab Circles,Video Demonstration,,Novice,Abdominals,Rectus Abdominis,,,Bodyweight,1.0,None,0,Seated Floor,No Arms,Continuous,Flat Palm,No Load,No Elevation,Single Exercise,Rotational,,,Transverse Plane,,,Midsection,Other,Compound,Bilateral,Unsorted*
16,Ring Hanging Oblique Knee Raise,,,Intermediate,Abdominals,Obliques,Rectus Abdominis,,Gymnastic Rings,2.0,None,0,Hanging,Double Arm,Continuous,Pronated,No Load,No Elevation,Single Exercise,Rotational,,,Transverse Plane,,,Midsection,Other,Compound,Bilateral,Calisthenics
17,Stability Ball Stir The Pot,Video Demonstration,Video Explanation,Novice,Abdominals,Rectus Abdominis,,,Stability Ball,1.0,None,0,Prone,Double Arm,Continuous,Forearm,No Load,No Elevation,Single Exercise,Anti-Extension,Spinal Rotational,,Transverse Plane,,,Midsection,Other,Compound,Bilateral,Unsorted*
18,Bodyweight Alternating Side Kick Through,Video Demonstration,Video Explanation,Intermediate,Abdominals,Rectus Abdominis,,,Bodyweight,1.0,None,0,Knee Hover Quadruped,Double Arm,Alternating,Flat Palm,No Load,No Elevation,Single Exercise,Rotational,,,Frontal Plane,,,Midsection,Other,Compound,Unilateral,Animal Flow
19,Ring L Sit Hang Flutter Kicks ,Video Demonstration,,Intermediate,Abdominals,Rectus Abdominis,,,Gymnastic Rings,2.0,None,0,Hanging,Double Arm,Continuous,Pronated,No Load,No Elevation,Single Exercise,Hip Flexion,,,Sagittal Plane,,,Midsection,Other,Compound,Unilateral,Calisthenics
20,Slam Ball Russian Twist,Video Demonstration,,Intermediate,Abdominals,Obliques,Rectus Abdominis,,Slam Ball,1.0,None,0,Seated Floor,Double Arm,Continuous,Neutral,Other,No Elevation,Single Exercise,Rotational,,,Transverse Plane,,,Midsection,Other,Compound,Bilateral,Unsorted*
21,Dumbbell Otis Up,Video Demonstration,Video Explanation,Novice,Abdominals,Rectus Abdominis,,,Dumbbell,1.0,None,0,Supine,Double Arm,Continuous,Crush Grip,Overhead,No Elevation,Single Exercise,Spinal Flexion,,,Sagittal Plane,,,Midsection,Other,Compound,Bilateral,Unsorted*
22,Single Arm Dumbbell Side Plank Reach Through ,Video Demonstration,,Advanced,Abdominals,Obliques,Rectus Abdominis,,Dumbbell,1.0,None,0,Side Plank,Single Arm,Continuous,Neutral,Other,No Elevation,Single Exercise,Anti-Lateral Flexion,Spinal Rotational,,Transverse Plane,,,Midsection,Other,Compound,Unilateral,Unsorted*
23,Ab Wheel Kneeling Rollout,Video Demonstration,Video Explanation,Novice,Abdominals,Rectus Abdominis,,,Ab Wheel,1.0,None,0,Prone,Double Arm,Continuous,Pronated,No Load,No Elevation,Single Exercise,Anti-Extension,,,Sagittal Plane,,,Midsection,Other,Compound,Bilateral,Unsorted*
24,Cable Seated Crunch,Video Demonstration,Video Explanation,Novice,Abdominals,Rectus Abdominis,,,Cable,1.0,Bench (Flat),1,Seated,Double Arm,Continuous,Neutral,Other,No Elevation,Single Exercise,Spinal Flexion,,,Sagittal Plane,,,Midsection,Other,Isolation,Bilateral,Unsorted*
25,Cable Kneeling Crunch,Video Demonstration,Video Explanation,Novice,Abdominals,Rectus Abdominis,,,Cable,1.0,None,0,Kneeling,Double Arm,Continuous,Neutral,Other,No Elevation,Single Exercise,Spinal Flexion,,,Sagittal Plane,,,Midsection,Other,Isolation,Bilateral,Unsorted*
26,Medicine Ball V Up,,Video Explanation,Novice,Abdominals,Rectus Abdominis,,,Medicine Ball,1.0,None,0,Supine,Double Arm,Continuous,Neutral,Other,No Elevation,Single Exercise,Spinal Flexion,,,Sagittal Plane,,,Midsection,Other,Compound,Bilateral,Unsorted*
27,Suspension Knee Tuck,Video Demonstration,Video Explanation,Novice,Abdominals,Rectus Abdominis,,,Suspension Trainer,1.0,None,0,Prone,Double Arm,Continuous,Flat Palm,No Load,Feet Elevated,Single Exercise,Spinal Flexion,Anti-Extension,,Sagittal Plane,,,Midsection,Other,Compound,Bilateral,Unsorted*
28,Suspension Lateral Knee Tuck,Video Demonstration,Video Explanation,Intermediate,Abdominals,Rectus Abdominis,,,Suspension Trainer,1.0,None,0,Prone,Double Arm,Continuous,Flat Palm,No Load,Feet Elevated,Single Exercise,Rotational,Spinal Flexion,,Transverse Plane,,,Midsection,Other,Compound,Bilateral,Unsorted*
29,Bodyweight Push Up to Alternating Kick Through,Video Demonstration,,Intermediate,Chest,Pectoralis Major,Rectus Abdominis,,Bodyweight,1.0,None,0,Prone,Double Arm,Alternating,Flat Palm,No Load,No Elevation,Combo Exercise,Horizontal Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Unilateral,Animal Flow
30,Single Arm Dumbbell Turkish Get Up,Video Demonstration,Video Explanation,Intermediate,Abdominals,Obliques,Rectus Abdominis,,Dumbbell,1.0,None,0,Supine,Single Arm,Continuous,Neutral,Overhead,No Elevation,Single Exercise,Rotational,,,Transverse Plane,Sagittal Plane,,Full Body,Other,Compound,Unilateral,Unsorted*
31,Bodyweight Bear Crawl,Video Demonstration,Video Explanation,Novice,Abdominals,Rectus Abdominis,,,Bodyweight,1.0,None,0,Knee Hover Quadruped,Double Arm,Alternating,Flat Palm,No Load,No Elevation,Single Exercise,,,,Sagittal Plane,,,Midsection,Other,Compound,Contralateral,Animal Flow
32,Stability Ball Knee Tuck,Video Demonstration,Video Explanation,Novice,Abdominals,Rectus Abdominis,,,Stability Ball,1.0,None,0,Prone,Double Arm,Continuous,Flat Palm,No Load,Feet Elevated,Single Exercise,Spinal Flexion,,,Sagittal Plane,,,Midsection,Other,Compound,Bilateral,Unsorted*
33,Ring Hanging Leg Raise ,Video Demonstration,,Advanced,Abdominals,Rectus Abdominis,,,Gymnastic Rings,2.0,None,0,Hanging,Double Arm,Continuous,Pronated,No Load,No Elevation,Single Exercise,Hip Flexion,,,Sagittal Plane,,,Midsection,Other,Compound,Bilateral,Calisthenics
34,Parallette L Sit,Video Demonstration,Video Explanation,Advanced,Abdominals,Rectus Abdominis,,,Parallette Bars,2.0,None,0,L Sit,Double Arm,Continuous,Neutral,No Load,No Elevation,Single Exercise,Isometric Hold,,,Sagittal Plane,,,Midsection,Other,Compound,Bilateral,Calisthenics
35,Bodyweight Standing Walkout Plank,Video Demonstration,Video Explanation,Intermediate,Abdominals,Rectus Abdominis,,,Bodyweight,1.0,None,0,Standing,Double Arm,Alternating,Flat Palm,No Load,No Elevation,Single Exercise,Anti-Extension,,,Sagittal Plane,,,Midsection,Other,Compound,Bilateral,Calisthenics
36,Bodyweight Standing Walkout Push Up ,Video Demonstration,,Intermediate,Chest,Pectoralis Major,Rectus Abdominis,,Bodyweight,1.0,None,0,Prone,Double Arm,Alternating,Flat Palm,No Load,No Elevation,Single Exercise,Horizontal Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Unsorted*
37,Barbell Climb,,Video Explanation,Expert,Abdominals,Rectus Abdominis,,,Barbell,1.0,None,0,Standing,Double Arm,Alternating,Neutral,No Load,No Elevation,Single Exercise,Anti-Extension,,,Sagittal Plane,,,Midsection,Other,Compound,Unilateral,Calisthenics
38,Bodyweight Ipsilateral Bird Dog,Video Demonstration,,Expert,Abdominals,Rectus Abdominis,,,Bodyweight,1.0,None,0,Quadruped,Single Arm,Continuous,Flat Palm,No Load,No Elevation,Single Exercise,Anti-Rotational,,,Sagittal Plane,,,Midsection,Other,Compound,Ipsilateral,Unsorted*
39,Bodyweight Copenhagen Plank Knee to Elbow,Video Demonstration,,Advanced,Adductors,Adductor Magnus,,,Bodyweight,1.0,Bench (Flat),1,Side Plank,Single Arm,Continuous,Forearm,No Load,Foot Elevated (Side),Single Exercise,Anti-Lateral Flexion,,,Transverse Plane,,,Lower Body,Other,Compound,Unilateral,Unsorted*
40,Ring Dead Hang,Video Demonstration,,Beginner,Back,Latissimus Dorsi,,,Gymnastic Rings,2.0,None,0,Hanging,Double Arm,Continuous,Pronated,No Load,No Elevation,Single Exercise,Isometric Hold,,,Sagittal Plane,,,Upper Body,Other,Compound,Bilateral,Calisthenics
41,Suspension Archer Row ,Video Demonstration,,Novice,Shoulders,Posterior Deltoids,,,Suspension Trainer,1.0,None,0,Standing,Double Arm,Alternating,Neutral,No Load,No Elevation,Single Exercise,Horizontal Pull,,,Frontal Plane,,,Upper Body,Pull,Compound,Unilateral,Unsorted*
42,Ring Eccentric Pull Up,Video Demonstration,,Novice,Back,Latissimus Dorsi,,,Gymnastic Rings,2.0,None,0,Hanging,Double Arm,Continuous,Pronated,No Load,No Elevation,Single Exercise,Vertical Pull,,,Sagittal Plane,,,Upper Body,Pull,Compound,Bilateral,Calisthenics
43,Ring Pull Up,Video Demonstration,,Intermediate,Back,Latissimus Dorsi,,,Gymnastic Rings,2.0,None,0,Hanging,Double Arm,Continuous,Pronated,No Load,No Elevation,Single Exercise,Vertical Pull,,,Sagittal Plane,,,Upper Body,Pull,Compound,Bilateral,Calisthenics
44,Ring Eccentric Chin Up,Video Demonstration,Video Explanation,Novice,Biceps,Biceps Brachii,Latissimus Dorsi,,Gymnastic Rings,2.0,None,0,Hanging,Double Arm,Continuous,Supinated,No Load,No Elevation,Single Exercise,Vertical Pull,,,Sagittal Plane,,,Upper Body,Pull,Compound,Bilateral,Calisthenics
45,Miniband Fire Hydrant,Video Demonstration,,Beginner,Glutes,Gluteus Maximus,Gluteus Medius,Gluteus Minimus,Miniband,1.0,None,0,Quadruped,No Arms,Continuous,Flat Palm,No Load,No Elevation,Single Exercise,Hip External Rotation,,,Transverse Plane,,,Lower Body,Other,Isolation,Unilateral,Bodybuilding
46,Medicine Ball Russian Twist,Video Demonstration,Video Explanation,Novice,Abdominals,Obliques,Rectus Abdominis,,Medicine Ball,1.0,None,0,Seated Floor,Double Arm,Continuous,Neutral,Other,No Elevation,Single Exercise,Rotational,,,Transverse Plane,,,Midsection,Other,Compound,Bilateral,Unsorted*
47,Bodyweight Side Plank,Video Demonstration,Video Explanation,Novice,Abdominals,Obliques,Rectus Abdominis,,Bodyweight,1.0,None,0,Side Plank,Single Arm,Continuous,Forearm,No Load,No Elevation,Single Exercise,Anti-Lateral Flexion,,,Frontal Plane,,,Midsection,Other,Compound,Unilateral,Calisthenics
48,Cable Reverse Crunch,Video Demonstration,Video Explanation,Intermediate,Abdominals,Rectus Abdominis,,,Cable,1.0,None,0,Supine,No Arms,Continuous,No Grip,Other,No Elevation,Single Exercise,Spinal Flexion,,,Sagittal Plane,,,Midsection,Other,Compound,Bilateral,Unsorted*
49,Cable Rope Half Kneeling High to Low Chop,Video Demonstration,Video Explanation,Intermediate,Abdominals,Obliques,Rectus Abdominis,,Cable,1.0,None,0,Half Kneeling,Double Arm,Continuous,Pronated,Other,No Elevation,Single Exercise,Rotational,,,Transverse Plane,,,Midsection,Other,Compound,Bilateral,Unsorted*
50,Cable Rope Half Kneeling Low to High Chop,Video Demonstration,Video Explanation,Intermediate,Abdominals,Obliques,Rectus Abdominis,,Cable,1.0,None,0,Half Kneeling,Double Arm,Continuous,Pronated,Other,No Elevation,Single Exercise,Rotational,,,Transverse Plane,,,Midsection,Other,Compound,Bilateral,Unsorted*
51,Slider Double Kettlebell Bottoms Up Overhead Lateral Lunge,,,Advanced,Adductors,Adductor Magnus,,,Sliders,1.0,Kettlebell ,2,Standing,Double Arm,Continuous,Bottoms Up,Overhead,No Elevation,Single Exercise,Hip Adduction,,,Frontal Plane,,,Lower Body,Other,Compound,Unilateral,Bodybuilding
52,Cable Rope Staggered Stance High to Low Chop ,Video Demonstration,Video Explanation,Intermediate,Abdominals,Obliques,Rectus Abdominis,,Cable,1.0,None,0,Staggered Stance,Double Arm,Continuous,Pronated,Other,No Elevation,Single Exercise,Rotational,,,Transverse Plane,,,Midsection,Other,Compound,Bilateral,Unsorted*
53,Cable Rope Staggered Stance Low to High Chop,,,Intermediate,Abdominals,Obliques,Rectus Abdominis,,Cable,1.0,None,0,Staggered Stance,Double Arm,Continuous,Pronated,Other,No Elevation,Single Exercise,Rotational,,,Transverse Plane,,,Midsection,Other,Compound,Bilateral,Unsorted*
54,Single Arm Dumbbell Windmill,Video Demonstration,Video Explanation,Intermediate,Abdominals,Obliques,,,Dumbbell,1.0,None,0,Standing,Single Arm,Continuous,Neutral,Overhead,No Elevation,Single Exercise,Rotational,,,Transverse Plane,,,Midsection,Other,Compound,Unilateral,Unsorted*
55,Slider Double Kettlebell Bottoms Up Front Rack Lateral Lunge,,,Intermediate,Adductors,Adductor Magnus,,,Sliders,1.0,Kettlebell ,2,Standing,Double Arm,Continuous,Bottoms Up,Front Rack,No Elevation,Single Exercise,Hip Adduction,,,Frontal Plane,,,Lower Body,Other,Compound,Unilateral,Bodybuilding
56,Slider Double Kettlebell Front Rack Lateral Lunge,,,Novice,Adductors,Adductor Magnus,,,Sliders,1.0,Kettlebell ,2,Standing,Double Arm,Continuous,Neutral,Front Rack,No Elevation,Single Exercise,Hip Adduction,,,Frontal Plane,,,Lower Body,Other,Compound,Unilateral,Bodybuilding
57,Bodyweight Feet On Wall Mountain Climber ,Video Demonstration,Video Explanation,Advanced,Abdominals,Rectus Abdominis,,,Bodyweight,1.0,None,0,Prone,Double Arm,Continuous,Flat Palm,No Load,Feet Elevated,Single Exercise,Anti-Extension,Spinal Flexion,,Sagittal Plane,,,Midsection,Other,Compound,Unilateral,Calisthenics
58,Slider Double Kettlebell Suitcase Reverse Lunge,Video Demonstration,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Sliders,1.0,Kettlebell ,2,Standing,Double Arm,Continuous,Neutral,Suitcase,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
59,Bodyweight Hollow Body Hold,Video Demonstration,Video Explanation,Novice,Abdominals,Rectus Abdominis,,,Bodyweight,1.0,None,0,Supine,Double Arm,Continuous,No Grip,No Load,No Elevation,Single Exercise,Isometric Hold,,,Sagittal Plane,,,Midsection,Other,Compound,Bilateral,Unsorted*
60,Dumbbell Crush Grip Hollow Body Hold,Video Demonstration,,Intermediate,Abdominals,Rectus Abdominis,,,Dumbbell,1.0,None,0,Supine,Double Arm,Continuous,Crush Grip,Other,No Elevation,Single Exercise,Isometric Hold,,,Sagittal Plane,,,Midsection,Other,Compound,Bilateral,Unsorted*
61,Bar Inverted Hanging Crunch,Video Demonstration,Video Explanation,Expert,Abdominals,Rectus Abdominis,,,Pull Up Bar,1.0,None,0,Inverted ,No Arms,Continuous,Head Supported,No Load,No Elevation,Single Exercise,Spinal Flexion,,,Sagittal Plane,,,Midsection,Other,Compound,Bilateral,Unsorted*
62,Bodyweight Inverted Hanging Oblique Crunch,,,Expert,Abdominals,Obliques,,,Bodyweight,1.0,None,0,Inverted ,No Arms,Continuous,Head Supported,No Load,No Elevation,Single Exercise,Rotational,Spinal Flexion,,Transverse Plane,,,Midsection,Other,Compound,Bilateral,Unsorted*
63,Slider Double Kettlebell Front Rack Reverse Lunge,Video Demonstration,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Sliders,1.0,Kettlebell ,2,Standing,Double Arm,Continuous,Neutral,Front Rack,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
64,Bodyweight Supine Alternating Single Leg Raise,Video Demonstration,Video Explanation,Beginner,Abdominals,Rectus Abdominis,,,Bodyweight,1.0,None,0,Supine,No Arms,Continuous,No Grip,No Load,No Elevation,Single Exercise,Hip Flexion,,,Sagittal Plane,,,Midsection,Other,Compound,Unilateral,Unsorted*
65,Bodyweight Supine Leg Raise,Video Demonstration,,Novice,Abdominals,Rectus Abdominis,,,Bodyweight,1.0,None,0,Supine,No Arms,Continuous,No Grip,No Load,No Elevation,Single Exercise,Hip Flexion,,,Sagittal Plane,,,Midsection,Other,Compound,Bilateral,Unsorted*
66,Miniband Bicycle Crunch,Video Demonstration,Video Explanation,Novice,Abdominals,Obliques,Rectus Abdominis,,Miniband,1.0,None,0,Supine,No Arms,Alternating,Head Supported,No Load,No Elevation,Single Exercise,Rotational,,,Transverse Plane,,,Midsection,Other,Compound,Unilateral,Unsorted*
67,Bodyweight Side Plank Reach Through,Video Demonstration,Video Explanation,Novice,Abdominals,Obliques,Rectus Abdominis,,Bodyweight,1.0,None,0,Side Plank,Single Arm,Continuous,Forearm,No Load,No Elevation,Single Exercise,Anti-Lateral Flexion,Spinal Rotational,,Transverse Plane,,,Midsection,Other,Compound,Unilateral,Calisthenics
68,Bodyweight Sit Up,Video Demonstration,Video Explanation,Novice,Abdominals,Rectus Abdominis,,,Bodyweight,1.0,None,0,Supine,No Arms,Continuous,Head Supported,No Load,No Elevation,Single Exercise,Spinal Flexion,,,Sagittal Plane,,,Midsection,Other,Compound,Bilateral,Unsorted*
69,Bodyweight Butterfly Sit Up,Video Demonstration,Video Explanation,Intermediate,Abdominals,Rectus Abdominis,,,Bodyweight,1.0,None,0,Supine,No Arms,Continuous,Head Supported,No Load,No Elevation,Single Exercise,Spinal Flexion,,,Sagittal Plane,,,Midsection,Other,Compound,Bilateral,Unsorted*
70,Slider Mountain Climber,Video Demonstration,Video Explanation,Novice,Abdominals,Rectus Abdominis,,,Sliders,2.0,None,0,Prone,Double Arm,Continuous,Flat Palm,No Load,No Elevation,Single Exercise,Anti-Extension,Spinal Flexion,,Sagittal Plane,,,Midsection,Other,Compound,Unilateral,Unsorted*
71,Slider Pike ,Video Demonstration,Video Explanation,Advanced,Abdominals,Rectus Abdominis,,,Sliders,2.0,None,0,Prone,Double Arm,Continuous,Flat Palm,No Load,No Elevation,Single Exercise,Spinal Flexion,,,Sagittal Plane,,,Midsection,Other,Compound,Bilateral,Unsorted*
72,Stability Ball Pike,Video Demonstration,Video Explanation,Advanced,Abdominals,Rectus Abdominis,,,Stability Ball,1.0,None,0,Prone,Double Arm,Continuous,Flat Palm,No Load,Feet Elevated,Single Exercise,Spinal Flexion,,,Sagittal Plane,,,Midsection,Other,Compound,Bilateral,Unsorted*
73,Slider Wide Mountain Climber,Video Demonstration,,Intermediate,Abdominals,Rectus Abdominis,,,Sliders,2.0,None,0,Prone,Double Arm,Continuous,Flat Palm,No Load,No Elevation,Single Exercise,Anti-Extension,Spinal Flexion,,Frontal Plane,,,Midsection,Other,Compound,Unilateral,Unsorted*
74,Stability Ball Crunch,Video Demonstration,Video Explanation,Beginner,Abdominals,Rectus Abdominis,,,Stability Ball,1.0,None,0,Supine,No Arms,Continuous,Head Supported,No Load,No Elevation,Single Exercise,Spinal Flexion,,,Sagittal Plane,,,Midsection,Other,Compound,Bilateral,Unsorted*
75,Stability Ball Feet Elevated Oblique Crunch,Video Demonstration,,Beginner,Abdominals,Obliques,,,Stability Ball,1.0,None,0,Supine,No Arms,Continuous,Head Supported,No Load,Feet Elevated,Single Exercise,Rotational,Spinal Flexion,,Sagittal Plane,,,Midsection,Other,Isolation,Bilateral,Unsorted*
76,Stability Ball Kneeling Rollout,Video Demonstration,Video Explanation,Beginner,Abdominals,Rectus Abdominis,,,Stability Ball,1.0,None,0,Prone,Double Arm,Continuous,Forearm,No Load,No Elevation,Single Exercise,Anti-Extension,,,Sagittal Plane,,,Midsection,Other,Compound,Bilateral,Unsorted*
77,Stability Ball Single Leg Knee Tuck,Video Demonstration,Video Explanation,Advanced,Abdominals,Rectus Abdominis,,,Stability Ball,1.0,None,0,Prone,Double Arm,Continuous,Flat Palm,No Load,Foot Elevated,Single Exercise,Spinal Flexion,,,Sagittal Plane,,,Midsection,Other,Compound,Unilateral,Unsorted*
78,Stability Ball Single Leg Pike,Video Demonstration,,Expert,Abdominals,Rectus Abdominis,,,Stability Ball,1.0,None,0,Prone,Double Arm,Continuous,Flat Palm,No Load,Foot Elevated,Single Exercise,Spinal Flexion,,,Sagittal Plane,,,Midsection,Other,Compound,Unilateral,Unsorted*
79,Parallette Kneeling Push Up,Video Demonstration,,Beginner,Chest,Pectoralis Major,,,Parallette Bars,2.0,None,1,Kneeling,Double Arm,Continuous,Neutral,No Load,No Elevation,Single Exercise,Horizontal Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Calisthenics
80,Slider Double Kettlebell Overhead Reverse Lunge,,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Sliders,1.0,Kettlebell ,2,Standing,Double Arm,Continuous,Pronated,Overhead,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
81,Double Dumbbell Romanian Deadlift,Video Demonstration,Video Explanation,Beginner,Hamstrings,Biceps Femoris,Gluteus Maximus,,Dumbbell,2.0,None,0,Standing,Double Arm,Continuous,Pronated,Other,No Elevation,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Lower Body,Pull,Compound,Bilateral,Bodybuilding
82,Single Arm Dumbbell Side Plank,Video Demonstration,,Intermediate,Abdominals,Obliques,Rectus Abdominis,,Dumbbell,1.0,None,0,Side Plank,Single Arm,Continuous,Neutral,Other,No Elevation,Single Exercise,Anti-Lateral Flexion,,,Frontal Plane,,,Midsection,Other,Compound,Unilateral,Unsorted*
83,Bodyweight Single Leg Glute Bridge,Video Demonstration,Video Explanation,Novice,Glutes,Gluteus Maximus,,,Bodyweight,1.0,None,0,Single Leg Bridge,No Arms,Continuous,No Grip,No Load,No Elevation,Single Exercise,Hip Extension,,,Sagittal Plane,,,Lower Body,Unsorted*,Compound,Unilateral,Bodybuilding
84,Dumbbell Glute Bridge,Video Demonstration,Video Explanation,Beginner,Glutes,Gluteus Maximus,,,Dumbbell,1.0,None,0,Bridge,Double Arm,Continuous,Neutral,Hip Crease,No Elevation,Single Exercise,Hip Extension,,,Sagittal Plane,,,Lower Body,Unsorted*,Compound,Bilateral,Bodybuilding
85,Bodyweight Glute Bridge Isometric with Alternating Single Leg Extension,Video Demonstration,Video Explanation,Beginner,Glutes,Gluteus Maximus,,,Bodyweight,1.0,None,0,Single Leg Bridge,No Arms,Continuous,No Grip,No Load,No Elevation,Single Exercise,Isometric Hold,Hip Extension,,Sagittal Plane,,,Lower Body,Unsorted*,Compound,Unilateral,Bodybuilding
